거래금액,아파트,월,일,전용면적,층
34,400,정관2차동원로얄듀크,2,19,59.997,17
17,000,형진강변프라자,2,20,59.86,2
33,500,정관2차동원로얄듀크,2,22,59.997,15
50,500,두산위브더테라스,2,8,84.821,5
8,200,재흥,2,8,46.895,1
33,500,정관센트럴파크,2,12,84.59,9
40,000,두산위브더테라스,2,12,84.868,3
26,600,정관1차동원로얄듀크,2,14,59.997,12
35,200,정관1차동원로얄듀크,2,16,79.6526,6
23,500,정관센트럴파크,2,17,59.83,3
9,000,재흥,2,17,46.895,1
25,000,정관센트럴파크,2,17,59.81,6
24,000,정관1차동원로얄듀크,2,18,59.997,12
26,100,정관1차동원로얄듀크,2,19,59.997,8
36,000,정관현진에버빌,2,10,84.981,4
24,500,이지더원,2,11,59.8832,20
34,000,정관동일스위트2차,2,11,84.9882,12
29,700,이지더원,2,12,84.7808,3
22,900,이지더원2차,2,12,59.9984,2
23,400,정관동일스위트2차,2,14,59.9856,17
34,000,이지더원3차,2,15,74.1653,7
35,900,정관동일스위트2차,2,17,84.9803,17
23,800,이지더원,2,18,59.8832,11
28,000,이지더원,2,19,84.8834,3
40,000,이지더원3차,2,22,84.97,8
50,000,정관현진에버빌,2,22,132.248,1
33,500,정관동일스위트2차,2,22,84.9864,20
31,500,이지더원,2,24,84.8834,19
30,033,이지더원,2,25,84.8834,10
22,600,이지더원,2,26,59.8832,8
29,000,이지더원3차,2,28,65.6536,12
41,700,이지더원3차,2,28,84.97,16
24,800,정관동일스위트1차,2,3,59.6502,4
35,000,이진캐스빌,2,13,59.8881,9
23,500,정관양우내안愛,2,16,59.9527,5
55,600,정관신도시롯데캐슬,2,22,122.42,8
44,500,정관신동아파밀리에,2,23,107.83,1
23,400,정관양우내안愛,2,24,59.8986,5
24,000,정관양우내안愛,2,25,59.8986,14
24,500,정관양우내안愛,2,28,59.9527,4
72,800,e편한세상일광,2,12,84.9868,22
29,500,해찬솔,2,14,76.57,8
15,000,세진오션리조트빌,2,21,84.445,4
